code,date,open,close,high,low,volume,money
000001.XSHE,2014-09-16,798.47,793.05,809.3,792.28,1070611.5629531555,855746002.0
000001.XSHE,2014-09-17,796.92,793.83,800.79,789.18,719579.0635274556,570333749.0
000001.XSHE,2014-09-18,789.96,799.24,808.53,787.64,993022.3674991244,793786924.0
000001.XSHE,2014-09-19,796.92,803.11,804.66,794.6,737685.5623762623,590541277.0
000001.XSHE,2014-09-22,799.24,778.35,800.02,775.26,1021305.5206526628,802794232.0
000001.XSHE,2014-09-23,778.35,781.45,784.54,777.58,597324.9472135135,466711149.0
000001.XSHE,2014-09-24,779.13,795.37,796.92,776.8,982999.7158555138,774981756.0
000001.XSHE,2014-09-25,798.47,787.64,799.24,785.32,875217.1118785231,693102356.0
000001.XSHE,2014-09-26,786.09,782.99,786.09,779.13,586312.2083296084,458502933.0
000001.XSHE,2014-09-29,784.54,782.99,788.41,780.67,782415.2390196553,613587067.0
000001.XSHE,2014-09-30,784.54,784.54,786.09,781.45,625535.6616616106,490091615.0
000001.XSHE,2014-10-08,786.86,793.83,793.83,784.54,872011.465930993,688180509.0
000001.XSHE,2014-10-09,793.83,789.18,796.15,786.09,856131.5289287616,676596673.0
000001.XSHE,2014-10-10,786.09,786.09,789.18,783.77,852190.695721864,669475945.0
000001.XSHE,2014-10-13,782.99,781.45,783.77,776.8,671922.3878687057,524125119.0
000001.XSHE,2014-10-14,780.67,782.99,788.41,779.13,744318.0577018862,582564015.0
000001.XSHE,2014-10-15,782.22,786.09,787.64,775.26,772459.3367171695,604418829.0
000001.XSHE,2014-10-16,781.45,789.18,800.02,779.9,1710902.0755721128,1355834870.0
000001.XSHE,2014-10-17,789.18,782.99,790.73,778.35,905397.427808784,709337487.0
000001.XSHE,2014-10-20,785.32,786.86,788.41,780.67,789924.3702818798,619515499.0
000001.XSHE,2014-10-21,784.54,780.67,786.09,779.13,628562.5257791386,491198799.0
000001.XSHE,2014-10-22,779.9,781.45,788.41,778.35,723084.7782967561,566149374.0
000001.XSHE,2014-10-23,782.99,792.28,799.24,782.99,2049189.074569596,1625114587.0
000001.XSHE,2014-10-24,799.24,787.64,800.79,785.32,1061102.5366918896,842544557.0
000001.XSHE,2014-10-27,781.45,775.26,782.99,772.16,942945.7704512036,732299557.0
000001.XSHE,2014-10-28,777.58,786.86,788.41,777.58,685855.2563353073,536915438.0
000001.XSHE,2014-10-29,788.41,796.92,802.34,784.54,1376843.6982382168,1093982842.0
000001.XSHE,2014-10-30,797.7,806.98,815.49,789.96,1965376.06384297,1578266639.0
000001.XSHE,2014-10-31,812.4,853.4,878.16,810.07,4643978.968830559,3900825744.0
000001.XSHE,2014-11-03,863.46,859.59,868.88,850.31,2477464.471434055,2129549825.0
000001.XSHE,2014-11-04,862.69,839.48,862.69,835.61,1704753.3234859677,1443567462.0
000001.XSHE,2014-11-05,839.48,837.15,846.44,824.77,1661970.870214418,1386580591.0
000001.XSHE,2014-11-06,837.15,838.7,843.34,830.96,833807.5783951352,697763046.0
000001.XSHE,2014-11-07,836.38,844.12,880.48,833.29,2887855.4932947936,2470573058.0
000001.XSHE,2014-11-10,854.95,861.91,869.65,840.25,2095557.160260352,1792139953.0
000001.XSHE,2014-11-11,859.59,871.97,900.6,857.27,3853375.296168448,3391053002.0
000001.XSHE,2014-11-12,865.78,866.56,867.33,850.31,1795834.7488921713,1538193916.0
000001.XSHE,2014-11-13,865.01,854.95,878.93,853.4,1732410.4567518574,1498071920.0
000001.XSHE,2014-11-14,851.08,845.67,851.08,836.38,1165193.2917095318,980742739.0
000001.XSHE,2014-11-17,847.21,832.51,850.31,828.64,1149779.7551981355,961863939.0
000001.XSHE,2014-11-18,830.96,820.91,836.38,817.04,1202181.4620360332,989362887.0
000001.XSHE,2014-11-19,820.13,822.45,824.0,815.49,764704.7127484955,627090018.0
000001.XSHE,2014-11-20,818.59,822.45,826.32,812.4,883468.0953249434,724368039.0
000001.XSHE,2014-11-21,821.68,835.61,840.25,812.4,1482115.5323655773,1223439993.0
000001.XSHE,2014-11-24,820.91,834.06,845.67,813.94,2878814.212406784,2397280179.0
000001.XSHE,2014-11-25,831.74,849.53,852.63,827.87,2026353.035207703,1704414001.0
000001.XSHE,2014-11-26,850.31,867.33,878.93,844.89,2823947.285346985,2437106777.0
000001.XSHE,2014-11-27,878.16,875.07,889.77,860.37,2719167.9145668354,2386740221.0
000001.XSHE,2014-11-28,871.97,962.5,962.5,865.01,6261797.107532469,5793315507.0
000001.XSHE,2014-12-01,974.87,943.15,1006.6,940.06,5771187.898001378,5600891971.0
