code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2014-05-08,688.81,695.17,709.16,688.17,596869.4750924234,418459820.0,1.0,697.842,700.7673333333332,722.9668255626224,678.5678411040441,488087.3456113793,13.484000000000014,17.894000000000013,3.1889237579980545
000001.XSHE,2014-05-09,695.17,702.8,707.89,693.26,506141.2564029597,354934974.0,1.0,696.696,701.0213333333334,723.2208582531788,678.8218084134879,507684.6302427116,14.758000000000015,17.80933333333335,1.615893030806319
000001.XSHE,2014-05-12,709.16,721.25,725.06,700.89,946494.1809358752,678578691.0,3.0,701.1479999999999,702.8873333333333,726.9206286506569,678.8540380160098,570173.4036249823,15.648000000000001,18.40333333333334,-3.2127871030057804
000001.XSHE,2014-05-13,720.61,714.25,722.52,712.34,480854.6853342668,344110515.0,1.0,704.7099999999999,704.7106666666666,727.671780958529,681.7495523748042,582142.0418577653,15.265999999999986,18.318666666666665,-4.437317718437612
000001.XSHE,2014-05-14,712.98,719.34,727.61,712.98,654258.0448744682,471870076.0,1.0,710.562,707.3393333333333,726.9100161693208,687.7686504973459,636923.5285279986,16.91999999999998,18.318666666666665,-6.027155672504591
000001.XSHE,2014-05-15,718.7,711.71,721.88,709.16,491535.50181956135,351065256.0,1.0,713.87,707.8906666666666,727.4565195255476,688.3248138077855,615856.7338734262,15.265999999999986,17.046666666666663,-5.113846326022781
000001.XSHE,2014-05-16,711.71,716.79,721.25,711.07,490196.8093862919,351624888.0,1.0,716.668,707.7633333333334,727.0505780697896,688.4760885968773,612667.8444700927,14.375999999999976,16.113999999999994,-5.426338943657356
000001.XSHE,2014-05-19,716.79,716.79,717.43,709.16,410533.71559313056,292415549.0,3.0,715.7760000000001,707.9326666666667,727.5064544841525,688.3588788491809,505475.7514015438,11.19599999999998,15.265999999999993,-5.382528847958497
000001.XSHE,2014-05-20,715.52,714.89,721.25,711.07,323519.6799507618,231626199.0,1.0,715.904,707.8906666666667,727.3972698954186,688.3840634379147,474008.7503248427,11.19599999999998,14.205999999999987,-4.73686759013583
000001.XSHE,2014-05-21,712.34,720.61,723.79,705.35,413773.5307586628,297215226.0,1.0,716.158,709.1626666666666,729.367546511,688.9577868223332,425911.84750168165,11.95799999999997,14.078666666666656,-5.354529040150396
