code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2020-04-30,1664.53,1653.85,1698.96,1647.91,690279.7835353871,1155968186.0,1.0,1619.656,1565.5166666666667,1668.5500378672093,1462.483295466124,707961.7430470355,44.87800000000002,40.28599999999998,-41.3304771761143
000001.XSHE,2020-05-06,1633.66,1634.85,1647.91,1615.86,849857.0933113128,1382727443.0,6.0,1632.2400000000002,1573.2733333333333,1678.6293563265588,1467.9173103401079,782586.5979310127,48.67600000000002,40.28599999999998,-37.9128142939378
000001.XSHE,2020-05-07,1633.66,1625.35,1633.66,1614.67,558219.4678069341,904349501.0,1.0,1636.75,1581.9793333333334,1680.917033346051,1483.0416333206158,736416.9402071489,43.452,39.177999999999976,-32.360310350420605
000001.XSHE,2020-05-08,1633.66,1656.22,1664.53,1624.17,787348.471217592,1297924558.0,1.0,1646.9599999999998,1590.6066666666666,1691.4770187221977,1489.7363146111354,763912.1295695642,44.875999999999976,39.57333333333331,-34.20425345210151
000001.XSHE,2020-05-11,1652.66,1662.16,1677.59,1651.47,516201.5690426914,859156543.0,3.0,1646.486,1599.5506666666665,1700.4215253967773,1498.6798079365558,680381.2769827838,35.139999999999915,40.20666666666664,-35.0922097009111
000001.XSHE,2020-05-12,1656.22,1637.23,1668.1,1628.92,470422.2540510497,772109467.0,1.0,1643.1619999999998,1608.3366666666668,1696.1957472337494,1520.4775860995842,636409.7710859163,32.76599999999989,40.285999999999966,-28.954258775178914
000001.XSHE,2020-05-13,1632.48,1618.23,1632.48,1607.55,539357.1154903815,871062020.0,1.0,1639.8379999999997,1614.194,1690.7664955469245,1537.6215044530754,574309.7755217301,31.103999999999907,39.2573333333333,-20.209026619535962
000001.XSHE,2020-05-14,1608.73,1579.05,1608.73,1569.55,795674.4688261929,1259440826.0,1.0,1630.578,1616.6473333333333,1685.2884157701174,1548.0062508965493,621800.7757255818,36.80399999999995,40.36599999999997,-6.10309841959679
000001.XSHE,2020-05-15,1589.74,1570.74,1593.3,1560.05,637427.690133313,1004313203.0,1.0,1613.482,1614.906,1686.939830861405,1542.872169138595,591816.6195087259,35.38199999999997,37.1213333333333,4.1109054645176
000001.XSHE,2020-05-18,1567.18,1567.18,1583.8,1558.87,536704.9349787517,843479646.0,3.0,1594.486,1614.6686666666667,1687.3467147836416,1541.9906185496918,595917.292695938,35.144000000000005,36.48799999999998,10.639453335896178
000001.XSHE,2020-05-19,1592.11,1586.17,1593.3,1575.49,505680.7630960111,801755634.0,1.0,1584.2740000000001,1615.6973333333333,1686.1122653807067,1545.2824012859598,602968.9945049302,32.53200000000002,36.72533333333331,10.04821237187116
000001.XSHE,2020-05-20,1588.55,1603.98,1617.04,1575.49,581889.0198132147,929928862.0,1.0,1581.424,1617.8339999999998,1684.3968715898277,1551.271128410172,611475.3753694969,34.90599999999999,38.22866666666664,5.574229627361774
000001.XSHE,2020-05-21,1605.17,1590.92,1611.11,1586.17,465205.5288763734,742796989.0,1.0,1583.798,1617.042,1684.6460760394002,1549.4379239605996,545381.5873795331,30.157999999999948,36.804666666666634,5.4529801252581365
000001.XSHE,2020-05-22,1582.61,1533.94,1583.8,1533.94,721187.402375582,1119433464.0,1.0,1576.438,1612.2933333333335,1692.3341074663185,1532.2525592003485,562133.5298279868,34.903999999999954,38.3873333333333,17.025877077145196
000001.XSHE,2020-05-25,1539.87,1538.68,1541.06,1514.94,345478.9923830816,528769331.0,3.0,1570.738,1603.9033333333334,1686.8098406314864,1520.9968260351804,523888.34130885283,35.14199999999992,35.141999999999946,22.07982208753151
000001.XSHE,2020-05-26,1545.81,1548.18,1551.74,1536.31,333722.0168197496,515451827.0,1.0,1563.1399999999999,1596.8586666666667,1679.5339726591449,1514.1833606741886,489496.59205360047,33.00399999999995,32.76733333333329,22.12879742327641
000001.XSHE,2020-05-27,1549.37,1543.43,1565.99,1539.87,406789.1643935908,630305849.0,1.0,1551.0300000000002,1590.7640000000001,1674.9021998516907,1506.6258001483095,454476.6209696758,29.917999999999985,31.97599999999996,22.224916476491217
000001.XSHE,2020-05-28,1554.3,1578.46,1591.74,1549.47,795535.6245961256,1255226954.0,1.0,1548.538,1587.638,1669.7284505321334,1505.5475494678665,520542.64011362626,34.592000000000006,33.8513333333333,14.057031071012716
000001.XSHE,2020-05-29,1571.21,1570.0,1574.83,1561.55,379076.6878980892,594502104.0,1.0,1555.75,1581.89,1654.9808690798939,1508.7991309201063,452120.49721812765,26.57800000000002,32.28799999999998,10.469221623191288
000001.XSHE,2020-06-01,1582.08,1608.65,1617.1,1582.08,731110.7997389116,1173618984.0,3.0,1569.744,1578.322666666667,1638.7494811812337,1517.8958521521001,529246.8586892936,30.774000000000022,33.686666666666646,-0.1119681223376574
000001.XSHE,2020-06-02,1605.03,1636.43,1646.09,1603.82,731513.5294513054,1194375752.0,1.0,1587.394,1578.2693333333332,1638.4743290760275,1518.0643375906388,608805.1612156047,36.14200000000001,33.892666666666656,-12.067163468798753
000001.XSHE,2020-06-03,1647.3,1635.22,1676.28,1630.39,792256.681058206,1308782266.0,1.0,1605.752,1579.4019999999998,1643.3518125541523,1515.4521874458474,685898.6645485278,40.09599999999996,34.973333333333315,-18.28614560970118
000001.XSHE,2020-06-04,1634.01,1638.84,1647.3,1619.52,482794.7060115691,788707604.0,1.0,1617.828,1583.388,1654.31644249159,1512.45955750841,623350.4808316166,35.98999999999997,33.57999999999997,-21.906129124823337
000001.XSHE,2020-06-05,1642.46,1641.26,1643.67,1621.93,317154.09746170626,517232105.0,1.0,1632.08,1588.0893333333336,1664.5570899245429,1511.6215767421243,610965.96274434,36.955999999999946,32.81266666666664,-23.60919746177683
000001.XSHE,2020-06-08,1652.13,1644.88,1672.66,1641.26,485198.009581246,802115754.0,3.0,1639.3260000000002,1593.2693333333334,1674.0708642476213,1512.4678024190455,561783.4047128068,33.81599999999999,33.24399999999998,-24.373104097425767
000001.XSHE,2020-06-09,1647.3,1650.92,1658.16,1634.01,392732.2141593778,646895805.0,1.0,1642.2240000000002,1597.586,1683.5175351394707,1511.6544648605293,494027.1416544213,30.192000000000007,33.112666666666655,-25.061503630828383
000001.XSHE,2020-06-10,1655.75,1629.18,1655.75,1618.31,480648.0094280557,781995727.0,1.0,1641.016,1599.266,1686.7053866139634,1511.8266133860368,431705.4073283913,28.502000000000045,32.83866666666666,-19.889674040695354
