code,date,open,close,high,low,volume,money
000001.XSHE,2020-08-12,1716.13,1736.66,1749.95,1710.1,1322203.0184376913,2287731046.0
000001.XSHE,2020-08-13,1739.08,1712.51,1741.5,1707.68,693272.5052700422,1190139692.0
000001.XSHE,2020-08-14,1702.85,1747.53,1752.36,1698.02,913491.3575160368,1578543564.0
000001.XSHE,2020-08-17,1763.23,1834.49,1853.81,1759.61,2706003.3311710623,4923669060.0
000001.XSHE,2020-08-18,1835.7,1829.66,1846.56,1803.09,1118048.4051681736,2033477659.0
000001.XSHE,2020-08-19,1824.83,1823.62,1852.6,1807.92,1176559.1241596383,2154215043.0
000001.XSHE,2020-08-20,1812.75,1762.03,1827.24,1754.78,1104416.0428596565,1962604964.0
000001.XSHE,2020-08-21,1776.52,1745.12,1776.52,1730.63,1022207.9971577886,1787278559.0
000001.XSHE,2020-08-24,1751.16,1746.33,1776.52,1740.29,761325.0073010257,1338031941.0
000001.XSHE,2020-08-25,1758.4,1763.23,1774.1,1746.33,619629.9518497302,1090756811.0
000001.XSHE,2020-08-26,1763.23,1735.46,1763.23,1724.59,607864.5961301326,1057274144.0
000001.XSHE,2020-08-27,1739.08,1746.33,1746.33,1708.89,518892.5289034719,895618597.0
000001.XSHE,2020-08-28,1722.17,1827.24,1833.28,1722.17,1995871.7590464307,3599035631.0
000001.XSHE,2020-08-31,1847.77,1821.2,1892.46,1811.54,1488073.566878981,2760350258.0
000001.XSHE,2020-09-01,1806.71,1828.45,1838.11,1797.05,673715.716590555,1228342702.0
000001.XSHE,2020-09-02,1812.75,1850.19,1875.55,1812.75,1390568.6918640789,2575966567.0
000001.XSHE,2020-09-03,1850.19,1799.46,1850.19,1792.22,1059741.861447323,1919266685.0
000001.XSHE,2020-09-04,1778.93,1806.71,1818.79,1763.23,753412.795634053,1353550736.0
000001.XSHE,2020-09-07,1797.05,1804.3,1840.53,1792.22,854001.9641966412,1551971338.0
000001.XSHE,2020-09-08,1811.54,1863.47,1863.47,1811.54,1165530.6653715917,2154220735.0
000001.XSHE,2020-09-09,1842.94,1836.9,1879.17,1827.24,839263.4394904457,1554005536.0
000001.XSHE,2020-09-10,1850.19,1852.6,1869.51,1835.7,792495.7324840766,1469402729.0
000001.XSHE,2020-09-11,1833.28,1812.75,1845.36,1791.01,790128.3872569301,1431843986.0
000001.XSHE,2020-09-14,1812.75,1847.77,1847.77,1801.88,563264.9247471276,1027508063.0
000001.XSHE,2020-09-15,1835.7,1853.81,1868.3,1829.66,544122.1888974598,1007999007.0
000001.XSHE,2020-09-16,1850.19,1864.68,1876.76,1836.9,598177.8664435721,1114667794.0
000001.XSHE,2020-09-17,1876.76,1880.38,1898.5,1867.1,818269.1705931779,1543414449.0
000001.XSHE,2020-09-18,1886.42,1940.76,1943.18,1874.34,1137035.5510212493,2186759026.0
000001.XSHE,2020-09-21,1932.31,1915.4,1938.35,1898.5,742045.7961783439,1418370924.0
000001.XSHE,2020-09-22,1892.46,1880.38,1909.36,1858.64,718526.2127867771,1354536234.0
000001.XSHE,2020-09-23,1882.8,1887.63,1910.57,1873.13,496151.0465504362,939763235.0
000001.XSHE,2020-09-24,1882.8,1826.03,1884.0,1826.03,878541.1981183222,1623376128.0
000001.XSHE,2020-09-25,1835.7,1834.49,1848.98,1826.03,508477.3610104172,933035018.0
000001.XSHE,2020-09-28,1834.49,1848.98,1856.23,1809.13,507342.7862929831,932800691.0
000001.XSHE,2020-09-29,1858.64,1787.39,1859.85,1783.76,979038.6429374675,1766848437.0
000001.XSHE,2020-09-30,1787.39,1832.07,1844.15,1787.39,1007758.7488469324,1838547540.0
000001.XSHE,2020-10-09,1847.77,1833.28,1875.55,1828.45,745571.9333653344,1376995864.0
000001.XSHE,2020-10-12,1838.11,1920.23,1937.14,1838.11,1317677.2157501965,2509002809.0
000001.XSHE,2020-10-13,1920.23,1939.56,1945.6,1905.74,752521.2429623212,1453986296.0
000001.XSHE,2020-10-14,1937.14,1935.93,1945.6,1909.36,548620.0906024495,1057937781.0
000001.XSHE,2020-10-15,1956.46,1999.94,2042.21,1950.43,1324896.878906367,2654379488.0
000001.XSHE,2020-10-16,1999.94,2065.16,2097.77,1999.94,1735218.2688024184,3589229474.0
000001.XSHE,2020-10-19,2089.31,2111.05,2184.72,2089.31,1669386.5763482624,3571335933.0
000001.XSHE,2020-10-20,2111.05,2118.3,2124.33,2084.48,794962.0176556673,1673173270.0
000001.XSHE,2020-10-21,2130.37,2162.98,2173.85,2092.93,1030525.922569788,2204040303.0
000001.XSHE,2020-10-22,2166.6,2120.71,2234.23,2089.31,1565392.8825723457,3342068933.0
000001.XSHE,2020-10-23,2117.09,2189.55,2264.43,2117.09,1406397.1473590457,3105623868.0
000001.XSHE,2020-10-26,2198.0,2137.62,2208.87,2107.43,973421.3377494598,2085800551.0
000001.XSHE,2020-10-27,2173.85,2144.87,2173.85,2117.09,856888.721460974,1839243111.0
000001.XSHE,2020-10-28,2144.87,2129.17,2160.57,2088.1,998453.1657876072,2125604484.0
000001.XSHE,2020-10-29,2118.3,2146.07,2164.19,2095.35,701008.6022357144,1498040899.0
000001.XSHE,2020-10-30,2142.45,2143.66,2216.12,2129.17,834482.5088866706,1813064296.0
000001.XSHE,2020-11-02,2131.58,2129.17,2179.89,2092.93,801901.3991367526,1702741388.0
000001.XSHE,2020-11-03,2138.83,2169.02,2214.91,2138.83,793139.0766336869,1727488435.0
000001.XSHE,2020-11-04,2216.12,2212.5,2231.82,2169.02,1033070.8031638416,2275824901.0
000001.XSHE,2020-11-05,2218.53,2137.62,2231.82,2118.3,1183634.1959749628,2558562395.0
000001.XSHE,2020-11-06,2138.83,2130.37,2142.45,2079.65,702814.52329877,1486492149.0
000001.XSHE,2020-11-09,2134.0,2154.53,2173.85,2118.3,787799.1246350711,1688807336.0
000001.XSHE,2020-11-10,2173.85,2187.13,2231.82,2165.4,845466.4757010327,1854142752.0
000001.XSHE,2020-11-11,2198.0,2150.9,2198.0,2127.96,778449.1082802545,1677811446.0
000001.XSHE,2020-11-12,2150.9,2132.79,2162.98,2108.63,560787.1192194264,1197284137.0
000001.XSHE,2020-11-13,2103.8,2074.82,2103.8,2016.85,1067479.791018016,2191491921.0
000001.XSHE,2020-11-16,2062.74,2097.77,2103.8,2042.21,629177.5895355545,1308190417.0
000001.XSHE,2020-11-17,2098.97,2153.32,2165.4,2094.14,706247.0849664705,1509511523.0
000001.XSHE,2020-11-18,2147.28,2229.4,2231.82,2144.87,1137211.847133758,2508632583.0
000001.XSHE,2020-11-19,2245.1,2276.5,2292.2,2211.29,1003353.2484076436,2270476405.0
000001.XSHE,2020-11-20,2274.09,2277.71,2293.41,2237.86,558024.0206171987,1265262868.0
000001.XSHE,2020-11-23,2276.5,2369.5,2369.5,2271.67,965355.3374129564,2252290507.0
000001.XSHE,2020-11-24,2369.5,2338.1,2370.7,2316.36,561850.6992857449,1313496094.0
000001.XSHE,2020-11-25,2352.59,2301.87,2379.16,2300.66,457551.94863306783,1068351913.0
